listing_id,y_clean,y_orig
2246112,0,0
2248580,0,0
2249464,0,0
2249928,0,0
2250790,21,21
2251009,0,0
2254388,0,0
2254817,23,23
2255549,61,61
2267177,26,26
2271504,0,0
2257064,0,0
2257080,0,0
2259719,0,0
2260029,0,0
2261018,0,0
2519770,0,0
2521670,0,0
2529085,0,0
2529842,0,0
2530057,0,0
2531865,0,0
2532068,0,0
2538248,0,0
2551299,0,0
2271792,0,0
2272739,0,0
2273733,0,0
2274084,0,0
2281142,0,0
2281147,50,50
2282085,0,0
2283143,0,0
2284454,0,0
2284484,0,0
2284670,4,4
2291507,0,0
2292366,0,0
2294594,0,0
2294663,0,0
2296024,6,6
2297029,0,0
2552606,0,0
2554110,0,0
2563764,0,0
2569466,0,0
2569808,48,39
2570561,0,0
2571224,0,0
2571283,0,0
2574386,0,0
2578731,0,0
2582812,0,0
2584131,0,0
2584498,0,0
2298731,30,30
2298759,0,0
2299633,0,0
2301258,0,0
2303583,0,0
2309363,0,0
2310008,0,0
2310594,61,60
2314392,0,0
2329047,0,0
2333141,0,0
2586556,27,0
2586923,33,0
2592533,0,0
2592640,0,0
2593478,47,47
2598087,0,0
2599591,0,0
2599963,0,0
2607583,46,46
2612035,0,0
2619549,0,0
2619802,0,0
2334411,0,0
2339096,0,0
2346106,0,0
2349737,6,6
2350883,0,0
2356082,0,0
2362306,0,0
2620068,58,58
2620837,0,0
2620856,0,0
2627940,0,0
2629613,1,1
2636396,0,0
2636532,0,0
2637533,75,75
2641540,0,0
2645558,1,1
2365792,0,0
2367089,0,0
2373238,59,59
2385779,13,13
2392814,0,0
2400614,38,9
2404708,74,74
2405505,0,0
2649068,0,0
2653186,0,0
2658349,0,0
2659448,76,76
2659477,0,0
2659732,90,90
2663296,0,0
2669352,21,21
2670522,0,0
2677779,3,3
2683387,4,4
2684223,0,0
2410819,0,0
2425222,0,0
2425871,0,0
2432545,0,0
2432622,1,1
2435198,58,58
2440173,0,0
2440357,60,60
2446430,50,0
