listing_id,y_clean,y_orig
2685701,0,0
2686412,62,62
2687083,0,0
2687375,0,0
2690370,0,0
2695372,0,0
2698984,8,8
2700296,29,29
2700596,46,46
2702351,0,0
2716009,77,0
2722693,0,0
2447868,0,0
2451647,58,58
2454507,0,0
2459587,0,0
2459916,0,0
2461439,85,85
2465259,0,0
2465699,0,0
2723019,0,0
2723338,0,0
2723554,0,0
2728293,0,0
2735650,0,0
2738377,0,0
2739577,0,0
2739707,0,0
2739978,0,0
2743624,0,0
2748094,28,0
2752977,0,0
2754179,13,13
2467377,0,0
2467879,0,0
2468186,0,0
2473861,46,46
2477138,0,0
2482036,89,89
2484057,0,0
2485774,75,75
2489615,0,0
2769718,0,0
2771877,0,0
2773754,0,0
2776119,0,0
2781747,42,16
2782449,0,0
2783468,0,0
2786015,0,0
2788298,0,0
2793355,0,0
2793740,0,0
2794584,29,29
2489920,0,0
2493039,0,0
2493176,0,0
2495596,0,0
2501809,0,0
2508374,2,2
2510394,26,26
2513351,0,0
2516430,0,0
2794725,0,0
2794734,0,0
2794762,0,0
2799360,0,0
2803013,0,0
2804557,0,0
2806791,46,0
2814359,0,0
2817967,34,34
2821079,0,0
2830518,0,0
2831424,0,0
2517989,0,0
2518907,0,0
3081771,76,76
3083197,27,27
3083899,0,0
3084473,0,0
3089577,0,0
3090922,0,0
3091425,0,0
2838331,0,0
2847633,0,0
2847652,20,14
2847932,61,30
2851945,0,0
2854050,0,0
2863408,76,76
2864637,0,0
2865117,64,64
2870840,5,5
2872353,15,15
3091872,0,0
3103596,18,2
3105531,0,0
3105986,0,0
3111416,61,61
3112284,5,5
2880336,0,0
2888088,48,48
2889377,2,0
2897714,0,0
2904571,0,0
2904661,0,0
2908211,0,0
2908417,0,0
2909006,0,0
2909461,0,0
2918764,0,0
2919062,0,0
3112872,0,0
3114929,0,0
3120723,0,0
3120957,0,0
3121176,0,0
3122230,0,0
3123479,13,13
3137906,10,0
2922197,16,16
2923381,73,0
2926030,0,0
2936054,0,0
2939670,8,8
2940007,79,79
2940163,0,0
2941297,0,0
2942129,8,8
2942732,0,0
2949128,7,0
3143649,0,0
3145484,1,1
3147439,0,0
3153464,30,30
3156969,0,0
3157330,0,0
3161739,55,0
2958912,0,0
2968070,86,86
2974433,0,0
2974877,0,0
2974957,0,0
2976105,5,4
2979097,33,33
2979714,28,28
2984662,0,0
2987465,35,35
3167768,0,0
3168120,0,0
3171234,0,0
3171480,0,0
3181376,0,0
3187925,39,14
3191450,0,0
3191678,20,20
3198365,0,0
3200522,30,30
3200728,0,0
3202590,1,1
3206379,0,0
2995000,59,59
2995209,22,22
2999527,0,0
3010664,0,0
3012871,68,68
3018031,0,0
3018285,0,0
3040654,0,0
3041280,0,0
3052426,22,22
3056451,0,0
3059273,0,0
3207986,38,7
3208609,0,0
3213712,0,0
3215486,0,0
3215722,0,0
3060297,0,0
3067062,0,0
3067093,0,0
3068145,51,51
3068852,0,0
3072242,0,0
3073195,0,0
3339273,45,45
3339399,51,51
3344237,1,1
3219654,0,0
3219835,0,0
3220725,0,0
3225975,0,0
3227002,0,0
3236977,30,14
3237160,0,0
3237602,0,0
3344509,0,0
3350417,0,0
3352030,0,0
3352608,5,5
3354458,0,0
3354459,0,0
3354484,0,0
3358937,0,0
3360707,63,63
3362302,0,0
3363364,0,0
3238517,78,78
3241287,0,0
3247291,52,52
3248526,0,0
3249078,0,0
3250685,0,0
3251014,0,0
3258196,0,0
3262855,0,0
3265275,0,0
3265407,0,0
3265982,77,57
3364802,5,0
3368427,0,0
3368441,0,0
3369100,32,32
3369623,0,0
3372925,0,0
3378576,0,0
3378585,0,0
3379914,48,48
3383662,0,0
3386746,0,0
3386829,0,0
3393999,0,0
3394517,0,0
3271893,0,0
3272201,40,40
3272743,0,0
3278530,0,0
3278631,0,0
3279671,66,43
3282550,0,0
3283409,2,2
3395697,0,0
3400739,0,0
3400837,0,0
3401271,89,58
3411912,0,0
3415102,0,0
3420223,0,0
3421020,0,0
3423516,0,0
3425054,0,0
3430612,0,0
3283729,0,0
3293842,0,0
3297016,5,5
3301484,8,8
3304307,0,0
3311834,89,89
3315933,0,0
3317978,0,0
3322922,0,0
3332881,0,0
3337808,0,0
3540370,0,0
3543839,0,0
3431922,46,46
3440741,0,0
3445138,0,0
3448037,0,0
3450210,54,40
3452835,0,0
3453488,0,0
3455983,0,0
3457770,0,0
3461872,0,0
3464727,0,0
3465651,49,49
3544273,0,0
3549074,0,0
3553768,38,38
3554230,64,64
3468486,0,0
3476431,0,0
3482919,0,0
3485146,0,0
3485449,13,0
3487445,0,0
3488989,0,0
3489095,3,3
3489242,3,3
3490317,24,24
3499016,0,0
3554287,0,0
3556241,0,0
3561828,0,0
3563271,45,45
3569374,0,0
3575859,0,0
3576160,0,0
3581153,0,0
3581652,0,0
3583605,0,0
3585309,0,0
3585452,43,30
3585974,0,0
3591107,0,0
3593821,0,0
3503627,45,45
3504289,0,0
3507112,2,2
3511778,18,18
3511883,0,0
3511898,0,0
3511934,0,0
3512428,23,0
3512620,0,0
3513052,66,66
3513662,0,0
3594408,0,0
3600961,0,0
3603134,0,0
3605524,0,0
3611620,0,0
3616001,0,0
3616173,29,13
3619399,0,0
3624387,0,0
3624653,0,0
3624952,0,0
3625870,61,61
3626426,0,0
3627326,33,33
3628190,0,0
3629580,0,0
3637029,0,0
3641819,0,0
3642278,0,0
3642801,0,0
3644017,7,0
3645284,76,76
3646059,0,0
3652230,0,0
3518682,5,5
3519172,79,79
3522244,83,83
3522329,0,0
3527764,35,0
3529500,6,6
3529888,0,0
3530517,13,13
3531681,0,0
3533741,0,0
3534443,0,0
3539618,0,0
3539882,0,0
3654510,0,0
3655007,0,0
3659544,9,0
3662795,89,57
3663423,0,0
3663984,23,23
3666709,0,0
3670659,32,32
3677436,0,0
3677769,0,0
3678796,0,0
3678829,0,0
3683241,0,0
3739864,0,0
3741728,61,30
3743048,46,46
3747107,0,0
3747392,0,0
3749140,48,48
3749971,0,0
3755474,0,0
3757178,0,0
3758296,5,0
3684144,0,0
3685433,0,0
3685704,46,46
3686972,0,0
3687172,0,0
3687227,0,0
3688197,0,0
3689140,46,15
3692566,0,0
3694441,0,0
3696746,0,0
3700364,0,0
3701708,0,0
3703037,0,0
3760029,0,0
3760824,28,27
3765095,26,0
3767156,89,89
3767801,0,0
3769052,20,20
3775978,0,0
3780746,0,0
3785438,89,89
3789758,0,0
3791244,89,89
3706213,0,0
3710162,0,0
3710230,0,0
3710685,0,0
3715638,88,88
3718539,0,0
3725902,0,0
3727816,0,0
3727861,0,0
3791325,89,89
3793161,3,3
3797183,0,0
3798874,0,0
3803622,20,20
