n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,mse_mean,mse_std,avg_best_iter,seconds
3000,0.07238991699160052,6,6,0.8298780324567837,0.9293708707070305,0.04789343540044913,0.002070422657903522,0.6118979754102291,227.21920245680653,8.4660854380276,127,7.034281015396118
3000,0.06133905081490618,6,5,0.7643063678289448,0.740453626744363,0.2521130372475554,0.009473738285831642,0.6118147227310421,227.30482424019414,7.051912925235026,159,6.739955902099609
3000,0.036490101521300944,8,6,0.6805015708711148,0.9000375661365678,0.020784746586041705,0.313415494577413,0.6281786124402791,227.3152622613171,6.654345193104477,195,14.361133813858032
3000,0.03331966059993038,5,11,0.7372753514420356,0.8045171387695144,0.10238603622704111,0.33601101793618193,0.7304286878239395,227.4522911450657,6.4056374931650195,321,10.09218716621399
3000,0.04185991646015,6,7,0.6919390994382972,0.684359022060792,0.2673611847161887,0.018684200951110758,1.8374101487055596,227.49859905241277,7.0968803609375675,255,9.970345258712769
3000,0.06340371925423295,7,5,0.7316724685535477,0.6789172886460498,0.3610409586175367,0.016987385205513777,0.7967707255459668,227.69654623701504,7.098206332375834,111,6.713896989822388
3000,0.0777434095343566,8,10,0.9438712041759778,0.8906077640820781,0.31179101630853157,0.0542054669775171,3.005843456578968,227.77780649161613,5.824866252296729,98,9.220118999481201
3000,0.04623431068845875,8,5,0.6564836239640991,0.8978875772583074,0.35846430873590673,0.0023907165298289327,1.7906312020409993,227.91775122247705,8.425909544063575,160,12.5679612159729
3000,0.08082644841682114,7,7,0.7737714707821041,0.7622552130221548,0.17035283454940398,0.057483378197210055,3.6851963817703544,228.1365257531128,7.569982815686577,114,9.42114782333374
3000,0.05206205374838472,5,2,0.8973992571369024,0.7431004021772223,0.05754877318845706,0.30596495116878336,0.7319842340966752,228.19952157984494,6.93732746371177,268,10.12093997001648
3000,0.02824998654804698,5,5,0.9060209219804498,0.7201818457596022,0.02332109667562641,0.005747072611504051,0.9830231875769926,228.45936483252302,5.9969376480698,480,12.157825708389282
3000,0.07087047874659051,6,2,0.7851157813686701,0.7612394072697743,0.3707059955394407,0.05467296738432674,3.3245404207960823,229.31496075341647,7.501596750700922,137,6.816215991973877
3000,0.08472848370645567,8,1,0.7222484174123441,0.6929065625499905,0.31070717627688743,0.0034272616706455036,4.070129537494125,229.7501543681999,8.901337892687572,85,9.396147966384888
3000,0.040756258016872424,4,4,0.9255325686546663,0.8843882106294547,0.0442353643984442,0.49087016299401043,3.7859077604732465,231.09496207970656,8.389986785477607,440,10.930756092071533
3000,0.020744599445731385,4,1,0.8667078051789351,0.7885631690754162,0.06450871161344073,0.022506337068172167,0.7100388420219206,231.58015268266846,7.270967430721959,650,12.879995107650757
3000,0.03706457749146013,4,9,0.81589791957587,0.9308419960515386,0.3121205975637569,0.019669987075722897,1.1894042276034236,231.82921838433805,7.294709502413591,463,10.932176113128662
3000,0.03538612547592797,4,11,0.9179363363966593,0.8835150491221285,0.07785548314078704,0.018183018870845457,0.5530619367134854,231.9397622354192,7.337504714019376,486,10.426445245742798
3000,0.08735641423917218,8,3,0.661223766852854,0.816455740817445,0.1483689135449755,0.17361115510139932,3.215299821462034,231.99612928225878,6.555276058836343,73,8.405848979949951
3000,0.03180109883344473,4,9,0.7107213779377155,0.8584394386455494,0.34428762733035767,0.0022726972966724446,2.0575469071734913,232.04108225701748,7.381687627850422,444,10.16952395439148
3000,0.061729718577592504,4,4,0.8996779404185603,0.8914293072490406,0.15499135161206978,0.006000520225308894,2.4069413520590546,232.3511199864857,8.78750303096074,286,7.738264083862305
3000,0.039262534701818556,4,11,0.8288127659703118,0.9299069664800633,0.3217443662451883,0.018257820085388846,3.0460249308254284,232.4220561493558,8.397219492946029,410,11.225702285766602
3000,0.030710003211040435,4,2,0.7933631822071238,0.7750668105784655,0.09302797621154948,0.009815294883137567,1.1624183420281453,232.52020192931508,7.591464391124329,550,13.294275045394897
3000,0.030512797274916247,4,11,0.7222911725017054,0.6868273797234459,0.3324450688499625,0.0025924463211170062,0.7555066867483022,232.67935692758311,7.782844335342216,495,10.391988039016724
3000,0.05391521453793128,4,2,0.8194851834417325,0.8217291542101549,0.18639406119249094,0.02573756671793333,2.903309895579768,233.08648036170035,7.8024131895333175,272,7.6041741371154785
3000,0.05803497274683508,4,7,0.885169462731924,0.8492940620982162,0.16255474457602823,0.15740430319270757,0.7344173433759003,233.27748909430866,8.048734937235766,298,7.01665997505188
3000,0.054890862988669735,4,7,0.844953980466446,0.6753332963419667,0.16632296086824386,0.0012951360944787335,1.5594118265578958,233.83068973022083,7.120663936678378,305,7.012423038482666
3000,0.051547154030598064,4,8,0.6536908057665809,0.786295388552524,0.3301598044785285,0.0062685219352219225,1.4372029042294134,234.30131959125328,6.125269314616587,341,8.057361125946045
3000,0.09787141130740763,4,8,0.9353583980011523,0.6855435731651124,0.34021347167631305,0.052413517139850964,0.6620513609667734,236.34344762436302,8.42992814166668,221,6.294994831085205
