listing_id,y_booked_q4,q3_booked,q3_occupied,q3_obs_days,q3_changes,q3_booking_rate,q3_occ_rate,booked_m07,booked_m08,booked_m09,recency_booked_sep,trend_sep_minus_jul,lst_price_mean,lst_price_std,lst_price_last,lst_price_cv,lst_price_change,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,host_is_superhost,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,instant_bookable,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,estimated_occupancy_l365d,estimated_revenue_l365d,license_missing,has_reviews,host_age_days,days_since_first_review,days_since_last_review,bed_bath_ratio,price_per_person,kw_luxury,kw_private,kw_cozy,kw_modern,kw_spacious,kw_view,kw_near,kw_studio,title_len,title_words,review_scores_rating_missing,host_response_rate_missing,reviews_per_month_missing,estimated_occupancy_l365d_missing,geo_cluster
11943,0,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,Flatbush,Brooklyn,40.63702,-73.96327,Private room in home,Private room,1.0,,1.0,,,30.0,730.0,0.0,,,1.0,3.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,1.0,0.0,5833.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,1.0,1.0,1.0,0.0,c6
12192,1,57.0,86.0,91.0,57.0,0.6263736263736264,0.945054945054945,0.0,28.0,29.0,29.0,29.0,72.0,,,,,East Village,Manhattan,40.72296,-73.98383,Private room in rental unit,Private room,2.0,,,,,30.0,1125.0,1.0,100.0,35.0,2.0,3.0,0.0,315.0,2.0,0.0,1.63,4.4,4.6,4.06,4.71,4.54,120.0,,1.0,1.0,5826.0,5818.0,62.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,c11
12937,29,2.0,43.0,91.0,5.0,0.02197802197802198,0.4725274725274725,0.0,0.0,2.0,2.0,2.0,225.5,0.7071067811865476,225.0,0.0031357285196742684,-0.004424778761061947,Long Island City,Queens,40.74757,-73.94571,Private room in townhouse,Private room,3.0,1.0,1.0,2.0,225.0,2.0,14.0,0.0,100.0,100.0,1.0,1.0,1.0,452.0,37.0,3.0,2.44,4.92,4.92,4.86,4.91,4.85,255.0,57375.0,0.0,1.0,5814.0,5589.0,31.0,2.0,75.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,50.0,8.0,0.0,0.0,0.0,0.0,c0
12940,80,33.0,72.0,91.0,33.0,0.3626373626373626,0.7912087912087912,0.0,7.0,26.0,26.0,26.0,152.0,1.7320508075688772,150.0,0.011395071102426824,-0.0196078431372549,Bedford-Stuyvesant,Brooklyn,40.67946,-73.95417,Entire rental unit,Entire home/apt,2.0,1.0,1.0,1.0,150.0,30.0,365.0,0.0,90.0,85.0,5.0,7.0,0.0,80.0,4.0,0.0,0.42,4.58,4.64,4.46,4.12,4.42,240.0,36000.0,1.0,1.0,5814.0,5772.0,123.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,6.0,0.0,0.0,0.0,0.0,c8
14314,1,0.0,73.0,91.0,0.0,0.0,0.8021978021978022,0.0,0.0,0.0,0.0,0.0,130.66666666666666,27.135462651912412,115.0,0.20766935702994194,0.0,Greenpoint,Brooklyn,40.73535,-73.95584,Entire rental unit,Entire home/apt,2.0,1.0,1.0,2.0,115.0,30.0,365.0,0.0,,60.0,1.0,2.0,0.0,176.0,1.0,0.0,0.92,4.83,4.88,4.91,4.8,4.79,60.0,6900.0,1.0,1.0,5793.0,5771.0,366.0,2.0,57.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,0.0,1.0,0.0,0.0,c9
15341,60,53.0,53.0,91.0,53.0,0.5824175824175825,0.5824175824175825,0.0,29.0,24.0,24.0,24.0,178.0,2.8284271247461903,,0.01589004002666399,,Lower East Side,Manhattan,40.721359,-73.993668,Entire condo,Entire home/apt,3.0,,1.0,,,30.0,180.0,1.0,100.0,100.0,1.0,3.0,0.0,42.0,4.0,0.0,0.29,4.61,4.69,4.45,4.74,4.4,240.0,,1.0,1.0,5780.0,4383.0,92.0,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,48.0,10.0,0.0,0.0,0.0,0.0,c11
15396,0,0.0,31.0,91.0,0.0,0.0,0.34065934065934067,0.0,0.0,0.0,0.0,0.0,,,,,,Chelsea,Manhattan,40.74493,-73.99521,Entire rental unit,Entire home/apt,4.0,,2.0,,,180.0,730.0,1.0,100.0,29.0,3.0,3.0,0.0,5.0,0.0,0.0,0.04,5.0,4.8,4.8,4.8,4.8,0.0,,1.0,1.0,5779.0,3479.0,2524.0,,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,34.0,5.0,0.0,0.0,0.0,0.0,c11
16338,17,1.0,45.0,91.0,1.0,0.01098901098901099,0.4945054945054945,0.0,1.0,0.0,0.0,0.0,57.0,0.0,57.0,0.0,0.0,Clinton Hill,Brooklyn,40.69121,-73.96804,Private room in rental unit,Private room,1.0,1.0,1.0,1.0,57.0,30.0,200.0,0.0,100.0,50.0,1.0,3.0,0.0,32.0,0.0,0.0,0.17,4.66,4.69,4.31,4.73,4.6,0.0,0.0,1.0,1.0,5768.0,5751.0,649.0,1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,0.0,0.0,0.0,0.0,c8
16580,63,17.0,75.0,91.0,17.0,0.18681318681318682,0.8241758241758241,0.0,8.0,9.0,9.0,9.0,147.0,27.622454633866266,178.0,0.18790785465215146,0.424,East Village,Manhattan,40.72372723229208,-73.97625850509617,Private room in condo,Private room,1.0,1.0,1.0,1.0,178.0,1.0,40.0,1.0,100.0,100.0,2.0,2.0,0.0,654.0,66.0,2.0,4.46,4.81,4.85,4.79,4.75,4.71,255.0,45390.0,0.0,1.0,5765.0,4423.0,52.0,1.0,178.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,47.0,9.0,0.0,0.0,0.0,0.0,c11
16821,0,0.0,56.0,91.0,23.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,152.33333333333334,20.207259421636902,164.0,0.13265159357748513,0.2713178294573643,East Village,Manhattan,40.72281,-73.98501,Private room in rental unit,Private room,1.0,1.0,1.0,1.0,164.0,1.0,31.0,1.0,100.0,96.0,3.0,4.0,0.0,275.0,59.0,3.0,1.73,4.73,4.81,4.5,4.9,4.63,255.0,41820.0,0.0,1.0,6160.0,4796.0,43.0,1.0,164.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,8.0,0.0,0.0,0.0,0.0,c11
16974,60,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,East Harlem,Manhattan,40.8019,-73.93762,Entire loft,Entire home/apt,8.0,2.0,4.0,6.0,300.0,30.0,365.0,0.0,100.0,,1.0,1.0,0.0,291.0,0.0,0.0,1.53,4.85,4.9,4.77,4.42,4.77,0.0,0.0,1.0,1.0,5758.0,5751.0,757.0,3.0,37.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,0.0,0.0,0.0,0.0,c3
17037,30,6.0,51.0,91.0,11.0,0.06593406593406594,0.5604395604395604,0.0,0.0,6.0,6.0,6.0,228.33333333333334,27.537852736430512,210.0,0.12060373461210443,-0.19230769230769232,East Village,Manhattan,40.72289,-73.98028,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1.0,210.0,30.0,90.0,0.0,,0.0,1.0,2.0,0.0,53.0,0.0,0.0,0.28,4.8,4.75,4.9,4.57,4.56,0.0,0.0,1.0,1.0,5757.0,5663.0,482.0,1.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,1.0,0.0,0.0,c11
18152,44,0.0,39.0,91.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,213.33333333333334,248.26061575153906,500.0,1.1637216363353393,6.142857142857143,Upper East Side,Manhattan,40.76967,-73.94831,Private room in rental unit,Private room,2.0,1.0,2.0,1.0,500.0,30.0,30.0,0.0,,,1.0,3.0,0.0,146.0,0.0,0.0,0.86,4.41,4.38,4.26,4.72,4.47,0.0,0.0,1.0,1.0,5741.0,5122.0,2222.0,1.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,2.0,0.0,1.0,0.0,0.0,c0
18728,12,5.0,60.0,91.0,5.0,0.054945054945054944,0.6593406593406593,0.0,0.0,5.0,5.0,5.0,150.0,0.0,150.0,0.0,0.0,Chelsea,Manhattan,40.74261,-74.00353,Private room in loft,Private room,3.0,1.5,1.0,1.0,150.0,30.0,100.0,1.0,100.0,100.0,1.0,2.0,1.0,251.0,3.0,1.0,1.42,4.95,4.93,4.96,5.0,4.94,180.0,27000.0,1.0,1.0,5733.0,5315.0,38.0,0.6666666666666666,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,0.0,0.0,0.0,0.0,c11
18961,0,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,Kips Bay,Manhattan,40.73808,-73.98001,Private room in rental unit,Private room,2.0,,1.0,,,30.0,180.0,0.0,,,1.0,2.0,0.0,1.0,0.0,0.0,0.01,5.0,5.0,3.0,5.0,5.0,0.0,,1.0,1.0,5738.0,3480.0,3480.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,5.0,0.0,1.0,0.0,0.0,c11
