listing_id,y_booked_q1_2026,q3_booked,q3_occupied,q3_obs_days,q3_changes,q3_booking_rate,q3_occ_rate,booked_m10,booked_m11,booked_m12,recency_booked_sep,trend_sep_minus_jul,lst_price_mean,lst_price_std,lst_price_last,lst_price_cv,lst_price_change,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,host_is_superhost,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,instant_bookable,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,estimated_occupancy_l365d,estimated_revenue_l365d,license_missing,has_reviews,host_age_days,days_since_first_review,days_since_last_review,bed_bath_ratio,price_per_person,kw_luxury,kw_private,kw_cozy,kw_modern,kw_spacious,kw_view,kw_near,kw_studio,title_len,title_words,review_scores_rating_missing,host_response_rate_missing,reviews_per_month_missing,estimated_occupancy_l365d_missing,geo_cluster,prev_booked,prev_occupied,prev_obs_days,prev_changes,prev_booking_rate,prev_occ_rate,prev_booked_m07,prev_booked_m08,prev_booked_m09,prev_trend,prev_price_mean,prev_price_std,prev_price_cv,prev_price_change,qoq_booked_change,qoq_booking_rate_change,qoq_occ_rate_change,qoq_booked_ratio,qoq_price_change,h1_booked_total,h1_occ_rate
60680,1,3.0,4.0,91.0,3.0,0.03296703296703297,0.04395604395604396,0.0,1.0,2.0,2.0,2.0,140.0,14.142135623730951,,0.10101525445522108,,East Village,Manhattan,40.72598,-73.97978,Entire rental unit,Entire home/apt,6.0,1.0,1.0,2.0,,30.0,1125.0,1.0,100.0,100.0,6.0,13.0,1.0,168.0,0.0,0.0,0.92,4.53,4.68,4.36,4.84,4.42,0.0,,1.0,1.0,5521.0,5497.0,395.0,2.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,9.0,0.0,0.0,0.0,0.0,c7,1.0,4.0,91.0,1.0,0.01098901098901099,0.04395604395604396,0.0,0.0,1.0,1.0,150.66666666666666,1.1547005383792515,0.007663941626410962,0.013333333333333334,2.0,0.021978021978021976,0.0,1.5,-0.07079646017699104,4.0,0.04371584699453552
60794,0,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,Upper West Side,Manhattan,40.79918,-73.96248,Entire rental unit,Entire home/apt,6.0,,3.0,,,30.0,1125.0,0.0,,,1.0,1.0,0.0,4.0,0.0,0.0,0.02,5.0,5.0,4.75,5.0,5.0,0.0,,1.0,1.0,5521.0,5225.0,3051.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,5.0,0.0,1.0,0.0,0.0,c8,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.994535519125683
61406,2,19.0,24.0,91.0,19.0,0.2087912087912088,0.26373626373626374,0.0,18.0,1.0,1.0,1.0,75.0,0.0,,0.0,,Harlem,Manhattan,40.80371,-73.95635,Private room in rental unit,Private room,1.0,1.5,1.0,1.0,,30.0,480.0,0.0,100.0,67.0,1.0,10.0,0.0,2.0,0.0,0.0,0.02,4.5,4.5,4.0,4.5,4.5,0.0,,1.0,1.0,5518.0,2616.0,492.0,0.6666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,0.0,0.0,0.0,0.0,c8,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5,9.192388155425117,0.12856486930664499,0.2,19.0,0.2087912087912088,0.26373626373626374,19.0,0.04895104895104896,19.0,0.13114754098360656
62925,3,0.0,77.0,91.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,285.0,0.0,,0.0,,Greenpoint,Brooklyn,40.72967,-73.95352,Entire home,Entire home/apt,4.0,2.0,1.0,1.0,,30.0,90.0,0.0,100.0,75.0,2.0,4.0,0.0,173.0,1.0,1.0,0.96,4.82,4.82,4.71,4.87,4.69,60.0,,1.0,1.0,5510.0,5416.0,57.0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,c9,35.0,43.0,91.0,35.0,0.38461538461538464,0.4725274725274725,0.0,6.0,29.0,29.0,317.5,45.96194077712559,0.14476201819567114,-0.18571428571428572,-35.0,-0.38461538461538464,0.37362637362637363,0.0,-0.10236220472440949,35.0,0.6557377049180327
63610,14,13.0,19.0,91.0,13.0,0.14285714285714285,0.2087912087912088,0.0,6.0,7.0,7.0,7.0,125.0,0.0,,0.0,,Eastchester,Bronx,40.881,-73.83511,Private room in home,Private room,3.0,1.0,1.0,1.0,,30.0,120.0,1.0,100.0,88.0,13.0,21.0,0.0,57.0,0.0,0.0,0.37,4.93,4.91,4.86,4.72,4.7,0.0,,1.0,1.0,5506.0,4637.0,823.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,7.0,0.0,0.0,0.0,0.0,c5,13.0,20.0,92.0,13.0,0.14130434782608695,0.21739130434782608,0.0,7.0,6.0,6.0,132.66666666666666,13.279056191361391,0.10009338837709592,-0.1554054054054054,0.0,0.0015527950310559036,-0.008600095556617282,0.9285714285714286,-0.05778894472361806,26.0,0.21195652173913043
63657,0,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,Bedford-Stuyvesant,Brooklyn,40.68253,-73.94295,Entire townhouse,Entire home/apt,2.0,,1.0,,,30.0,1124.0,0.0,,,2.0,4.0,0.0,266.0,0.0,0.0,1.46,4.59,4.64,4.76,4.23,4.59,0.0,,1.0,1.0,5646.0,5477.0,2216.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,8.0,0.0,1.0,0.0,0.0,c9,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.994535519125683
7801,29,14.0,87.0,91.0,14.0,0.15384615384615385,0.9560439560439561,0.0,0.0,14.0,14.0,14.0,355.0,,,,,Williamsburg,Brooklyn,40.71880722045898,-73.9561767578125,Entire place,Entire home/apt,2.0,1.0,0.0,1.0,,30.0,120.0,1.0,100.0,100.0,3.0,4.0,0.0,12.0,0.0,0.0,0.06,4.91,4.78,4.67,5.0,4.89,0.0,,1.0,1.0,6047.0,5989.0,519.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,6.0,0.0,0.0,0.0,0.0,c9,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,283.3333333333333,106.80979980008077,0.3769757640002851,1.15625,14.0,0.15384615384615385,-0.04395604395604391,14.0,0.2529411764705882,14.0,0.9726775956284153
8490,14,13.0,78.0,91.0,13.0,0.14285714285714285,0.8571428571428571,0.0,6.0,7.0,7.0,7.0,170.0,,,,,Bedford-Stuyvesant,Brooklyn,40.68455584344908,-73.93963415175676,Entire loft,Entire home/apt,5.0,,1.0,,,30.0,1125.0,0.0,,,2.0,3.0,0.0,189.0,0.0,0.0,0.95,4.77,4.83,4.74,4.67,4.76,0.0,,1.0,1.0,6019.0,5973.0,808.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,5.0,0.0,1.0,0.0,0.0,c9,10.0,80.0,91.0,10.0,0.10989010989010989,0.8791208791208791,0.0,0.0,10.0,10.0,170.0,0.0,0.0,0.0,3.0,0.03296703296703296,-0.02197802197802201,1.1818181818181819,0.0,23.0,0.8633879781420765
9357,6,7.0,74.0,91.0,7.0,0.07692307692307693,0.8131868131868132,0.0,0.0,7.0,7.0,7.0,175.0,0.0,,0.0,,Hell's Kitchen,Manhattan,40.76724,-73.98664,Entire rental unit,Entire home/apt,2.0,1.0,,1.0,,30.0,120.0,0.0,100.0,,1.0,1.0,0.0,58.0,0.0,0.0,0.29,4.52,4.68,4.16,4.95,4.58,0.0,,1.0,1.0,5992.0,5933.0,3063.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,0.0,0.0,c1,3.0,42.0,91.0,3.0,0.03296703296703297,0.46153846153846156,0.0,3.0,0.0,0.0,175.0,0.0,0.0,0.0,4.0,0.04395604395604396,0.3516483516483516,1.75,0.0,10.0,0.6338797814207651
10452,60,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,,0.0,,Bedford-Stuyvesant,Brooklyn,40.68294,-73.95682,Private room in rental unit,Private room,2.0,1.0,1.0,2.0,,30.0,730.0,1.0,90.0,75.0,6.0,6.0,0.0,82.0,1.0,0.0,0.43,4.66,4.5,4.62,4.42,4.67,60.0,,1.0,1.0,5964.0,5737.0,276.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,0.0,c9,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994535519125683
11943,0,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,Flatbush,Brooklyn,40.63702,-73.96327,Private room in home,Private room,1.0,,1.0,,,30.0,730.0,0.0,,,1.0,3.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,1.0,0.0,5925.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,1.0,1.0,1.0,0.0,c0,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.994535519125683
12192,0,0.0,89.0,91.0,2.0,0.0,0.978021978021978,0.0,0.0,0.0,0.0,0.0,,,,,,East Village,Manhattan,40.72296,-73.98383,Private room in rental unit,Private room,2.0,1.0,1.0,1.0,,30.0,1125.0,1.0,100.0,38.0,2.0,3.0,0.0,315.0,2.0,0.0,1.61,4.4,4.6,4.06,4.71,4.54,120.0,,1.0,1.0,5918.0,5910.0,154.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,c7,57.0,86.0,91.0,57.0,0.6263736263736264,0.945054945054945,0.0,28.0,29.0,29.0,72.0,,,,-57.0,-0.6263736263736264,0.03296703296703296,0.0,,57.0,0.9562841530054644
64015,0,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,East Village,Manhattan,40.72863,-73.9842,Entire rental unit,Entire home/apt,2.0,,1.0,,,30.0,730.0,0.0,,,1.0,10.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,1.0,0.0,5677.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,1.0,1.0,1.0,0.0,c7,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.994535519125683
64314,0,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,,0.0,,Crown Heights,Brooklyn,40.67634,-73.95143,Private room in rental unit,Private room,2.0,1.0,1.0,1.0,,30.0,182.0,0.0,,100.0,1.0,2.0,1.0,46.0,0.0,0.0,0.25,4.82,4.91,4.91,4.41,4.8,0.0,,1.0,1.0,5502.0,5472.0,1146.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,6.0,0.0,1.0,0.0,0.0,c9,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,79.33333333333333,12.701705922171767,0.16010553683409792,0.0,0.0,0.0,0.0,0.0,-0.09243697478991586,0.0,0.994535519125683
64365,64,0.0,91.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,,0.0,,Crown Heights,Brooklyn,40.67579,-73.95072,Private room in home,Private room,2.0,1.0,1.0,1.0,,30.0,365.0,1.0,75.0,75.0,2.0,4.0,0.0,257.0,0.0,0.0,1.44,4.79,4.79,4.81,4.53,4.78,0.0,,1.0,1.0,5502.0,5367.0,426.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0,c9,30.0,91.0,91.0,30.0,0.32967032967032966,1.0,0.0,0.0,30.0,30.0,57.0,0.0,0.0,0.0,-30.0,-0.32967032967032966,0.0,0.0,0.0,30.0,0.994535519125683
